iter	Passed	Remaining
409	2566	3693
410	2571	3685
411	2576	3677
412	2581	3668
413	2585	3659
414	2590	3651
415	2595	3643
416	2600	3635
417	2605	3627
418	2609	3618
419	2613	3609
420	2617	3600
421	2622	3591
422	2626	3583
423	2632	3576
424	2639	3570
425	2645	3564
426	2649	3555
427	2654	3547
428	2658	3538
429	2662	3528
430	2665	3519
431	2671	3512
432	2675	3502
433	2678	3493
434	2682	3484
435	2687	3476
436	2691	3467
437	2695	3458
438	2699	3449
439	2702	3440
440	2706	3431
441	2710	3421
442	2714	3412
443	2719	3405
444	2723	3396
445	2726	3386
446	2730	3378
447	2734	3369
448	2739	3361
449	2744	3354
450	2748	3345
451	2752	3337
452	2756	3328
453	2760	3320
454	2764	3311
455	2769	3303
456	2773	3295
457	2780	3290
458	2793	3293
459	2809	3297
460	2815	3291
461	2823	3288
462	2829	3281
463	2838	3278
464	2843	3271
465	2851	3267
466	2858	3262
467	2868	3260
468	2874	3254
469	2884	3253
470	2889	3245
471	2895	3239
472	2902	3233
473	2907	3226
474	2916	3223
475	2921	3216
476	2927	3209
477	2934	3204
478	2939	3197
479	2947	3193
480	2952	3185
481	2958	3179
482	2967	3176
483	2977	3174
484	2985	3170
485	2989	3162
486	2997	3157
487	3001	3149
488	3005	3141
489	3012	3135
490	3017	3127
491	3021	3119
492	3030	3116
493	3035	3108
494	3040	3101
495	3047	3096
496	3052	3089
497	3059	3083
498	3065	3077
499	3070	3070
500	3078	3066
501	3083	3058
502	3089	3053
503	3096	3047
504	3101	3039
505	3109	3035
506	3114	3028
507	3119	3021
508	3129	3019
509	3142	3018
510	3148	3012
511	3157	3009
512	3163	3003
513	3168	2996
514	3176	2991
515	3181	2984
516	3187	2977
517	3192	2970
518	3196	2962
519	3202	2955
520	3207	2948
521	3211	2940
522	3216	2933
523	3223	2928
524	3228	2921
525	3234	2914
526	3240	2908
527	3245	2901
528	3251	2894
529	3255	2887
530	3260	2879
531	3265	2872
532	3270	2865
533	3275	2857
534	3279	2850
535	3285	2844
536	3291	2838
537	3297	2831
538	3304	2826
539	3309	2819
540	3315	2813
541	3320	2805
542	3325	2798
543	3329	2791
544	3334	2784
545	3339	2777
546	3345	2770
547	3351	2764
548	3356	2757
549	3361	2750
550	3369	2745
551	3374	2739
552	3388	2738
553	3398	2736
554	3408	2733
555	3419	2730
556	3425	2724
557	3434	2720
558	3442	2716
559	3450	2710
560	3459	2706
561	3468	2703
562	3475	2697
563	3482	2691
564	3490	2687
565	3497	2681
566	3502	2674
567	3510	2669
568	3516	2663
569	3523	2657
570	3530	2652
571	3537	2646
572	3544	2641
573	3550	2635
574	3559	2631
575	3565	2624
576	3573	2619
577	3580	2613
578	3586	2607
579	3596	2604
580	3609	2603
581	3625	2604
582	3634	2599
583	3642	2594
584	3652	2590
585	3661	2586
586	3671	2583
587	3678	2577
588	3684	2571
589	3696	2568
590	3703	2563
591	3712	2558
592	3718	2552
593	3725	2546
594	3730	2539
595	3737	2533
596	3744	2527
597	3749	2520
598	3755	2514
599	3761	2507
600	3768	2501
601	3773	2494
602	3778	2487
603	3783	2480
604	3788	2473
605	3793	2466
606	3798	2459
607	3804	2453
608	3809	2445
609	3815	2439
610	3822	2433
611	3829	2427
612	3838	2423
613	3843	2416
614	3847	2408
615	3852	2401
616	3857	2394
617	3861	2386
618	3865	2379
619	3870	2371
620	3875	2365
621	3881	2358
622	3886	2351
623	3890	2344
624	3894	2336
625	3900	2330
626	3903	2322
627	3907	2314
628	3911	2307
629	3916	2300
630	3920	2292
631	3924	2285
632	3928	2277
633	3933	2270
634	3937	2263
635	3940	2255
636	3944	2247
637	3948	2240
638	3952	2232
639	3956	2225
640	3960	2217
641	3964	2210
642	3968	2203
643	3974	2196
644	3979	2190
645	3985	2184
646	3991	2177
647	4002	2174
648	4007	2167
649	4013	2161
650	4018	2154
651	4022	2147
652	4028	2140
653	4032	2133
654	4037	2126
655	4041	2119
656	4046	2112
657	4050	2105
658	4055	2098
659	4060	2091
660	4064	2084
661	4069	2077
662	4073	2070
663	4079	2064
664	4084	2057
665	4088	2050
666	4094	2044
667	4099	2037
668	4103	2030
669	4111	2024
670	4116	2018
671	4121	2011
672	4126	2005
673	4131	1998
674	4135	1991
675	4142	1985
676	4148	1979
677	4155	1973
678	4160	1966
679	4164	1959
680	4169	1952
681	4174	1946
682	4179	1940
683	4186	1933
684	4193	1928
685	4198	1921
686	4204	1915
687	4209	1909
688	4214	1902
689	4225	1898
690	4237	1894
691	4248	1890
692	4255	1885
693	4261	1879
694	4268	1873
695	4274	1867
696	4282	1861
697	4294	1858
698	4300	1852
699	4308	1846
700	4319	1842
701	4330	1838
702	4338	1832
703	4343	1826
704	4350	1820
705	4357	1814
706	4363	1808
707	4371	1802
708	4379	1797
709	4388	1792
710	4395	1786
711	4404	1781
712	4410	1775
713	4419	1770
714	4428	1765
715	4437	1760
716	4445	1754
717	4453	1749
718	4464	1744
719	4473	1739
720	4483	1734
721	4490	1729
722	4502	1725
723	4516	1721
724	4523	1715
725	4532	1710
726	4539	1704
727	4548	1699
728	4554	1692
729	4559	1686
730	4565	1680
731	4570	1673
732	4575	1666
733	4581	1660
734	4587	1653
735	4593	1647
736	4599	1641
737	4604	1634
738	4609	1628
739	4614	1621
740	4619	1614
741	4626	1608
742	4632	1602
743	4640	1596
744	4647	1590
745	4652	1583
746	4658	1577
747	4667	1572
748	4679	1568
749	4685	1561
750	4691	1555
751	4696	1548
752	4701	1542
753	4706	1535
754	4711	1528
755	4715	1522
756	4720	1515
757	4726	1509
758	4731	1502
759	4735	1495
760	4741	1489
761	4745	1482
762	4749	1475
763	4753	1468
764	4757	1461
765	4761	1454
766	4765	1447
767	4769	1440
768	4774	1434
769	4778	1427
770	4783	1420
771	4788	1414
772	4792	1407
773	4797	1400
774	4802	1394
775	4807	1387
776	4811	1381
777	4816	1374
778	4826	1369
779	4839	1364
780	4844	1358
781	4851	1352
782	4856	1345
783	4861	1339
784	4867	1333
785	4873	1326
786	4878	1320
787	4883	1313
788	4889	1307
789	4894	1301
790	4900	1294
791	4904	1288
792	4909	1281
793	4913	1274
794	4918	1268
795	4923	1261
796	4927	1255
797	4936	1249
798	4941	1243
799	4946	1236
800	4951	1230
801	4955	1223
802	4960	1216
803	4966	1210
804	4971	1204
805	4975	1197
806	4982	1191
807	4987	1185
808	4998	1180
809	5006	1174
810	5011	1167
811	5016	1161
812	5021	1155
813	5028	1149
814	5036	1143
815	5041	1136
816	5050	1131
817	5057	1125
818	5070	1120
819	5087	1116
820	5096	1111
821	5105	1105
822	5112	1099
823	5124	1094
824	5133	1088
825	5142	1083
826	5153	1078
827	5166	1073
828	5199	1072
829	5208	1066
830	5217	1061
831	5246	1059
832	5256	1053
833	5264	1047
834	5273	1042
835	5279	1035
836	5291	1030
837	5300	1024
838	5309	1018
839	5318	1013
840	5326	1007
841	5336	1001
842	5343	995
843	5351	989
844	5357	982
845	5365	976
846	5373	970
847	5384	965
848	5392	959
849	5401	953
850	5412	947
851	5455	947
852	5471	942
853	5480	936
854	5486	930
855	5493	924
856	5505	918
857	5513	912
858	5519	906
859	5527	899
860	5535	893
861	5547	888
862	5578	885
863	5584	879
864	5592	872
865	5601	866
866	5611	860
867	5628	855
868	5638	849
869	5645	843
870	5657	837
871	5667	831
872	5678	826
873	5692	820
874	5706	815
875	5712	808
876	5724	802
877	5732	796
878	5746	790
879	5757	785
880	5764	778
881	5773	772
882	5780	765
883	5788	759
884	5795	753
885	5801	746
886	5808	739
887	5815	733
888	5825	727
889	5832	720
890	5839	714
891	5846	707
892	5855	701
893	5861	695
894	5872	688
895	5881	682
896	5888	676
897	5894	669
898	5901	662
899	5909	656
900	5920	650
901	5927	643
902	5934	637
903	5941	630
904	5949	624
905	5955	617
906	5961	611
907	5968	604
908	5974	598
909	5981	591
910	5987	584
911	5994	578
912	5999	571
913	6005	565
914	6011	558
915	6017	551
916	6022	545
917	6045	540
918	6050	533
919	6055	526
920	6062	519
921	6067	513
922	6071	506
923	6077	499
924	6082	493
925	6087	486
926	6092	479
927	6096	473
928	6101	466
929	6106	459
930	6111	452
931	6117	446
932	6123	439
933	6127	433
934	6132	426
935	6137	419
936	6145	413
937	6151	406
938	6159	400
939	6165	393
940	6170	386
941	6176	380
942	6181	373
943	6185	366
944	6191	360
945	6196	353
946	6201	347
947	6207	340
948	6212	333
949	6218	327
950	6223	320
951	6228	314
952	6234	307
953	6241	300
954	6247	294
955	6253	287
956	6259	281
957	6264	274
958	6270	268
959	6275	261
960	6281	254
961	6287	248
962	6295	241
963	6302	235
964	6309	228
965	6318	222
966	6323	215
967	6328	209
968	6335	202
969	6341	196
970	6346	189
971	6354	183
972	6360	176
973	6367	169
974	6373	163
975	6382	156
976	6389	150
977	6394	143
978	6402	137
979	6410	130
980	6419	124
981	6429	117
982	6435	111
983	6442	104
984	6450	98
985	6457	91
986	6467	85
987	6475	78
988	6482	72
989	6505	65
990	6523	59
991	6539	52
992	6592	46
993	6599	39
994	6608	33
995	6615	26
996	6623	19
997	6636	13
998	6643	6
999	6654	0
